POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
26,Jonas,Schomburg,GER,1994,3,00:08:29,00:00:39,00:29:07,00:00:24,00:15:28,00:54:06,Male
27,Valentin,Wernz,GER,1995,9,00:08:47,00:00:35,00:28:53,00:00:22,00:15:36,00:54:11,Male
28,Casper,Stornes,NOR,1997,7,00:08:59,00:00:44,00:29:13,00:00:29,00:14:51,00:54:14,Male
29,Chase,McQueen,USA,1998,16,00:08:31,00:00:38,00:29:04,00:00:23,00:15:41,00:54:16,Male
30,Dylan,McCullough,NZL,2001,25,00:08:31,00:00:38,00:29:07,00:00:23,00:15:52,00:54:29,Male
31,Felix,Duchampt,ROU,1989,26,00:09:00,00:00:39,00:29:20,00:00:23,00:15:14,00:54:34,Male
32,Trent,Thorpe,NZL,1996,18,00:08:43,00:00:38,00:28:59,00:00:26,00:15:53,00:54:37,Male
33,Bob,Haller,LUX,1993,17,00:09:01,00:00:42,00:29:13,00:00:23,00:15:28,00:54:46,Male
34,Johannes,Vogel,GER,1996,36,00:08:54,00:00:47,00:29:15,00:00:25,00:15:30,00:54:50,Male
35,Donald,Hillebregt,NED,1992,41,00:08:57,00:00:41,00:29:20,00:00:25,00:15:35,00:54:57,Male
36,Henry,Räppo,EST,1998,44,00:08:59,00:00:43,00:29:15,00:00:24,00:15:38,00:54:58,Male
37,Mitch,Kolkman,NED,2002,52,00:08:51,00:00:53,00:29:14,00:00:24,00:15:40,00:55:00,Male
38,Austin,Hindman,USA,1998,38,00:08:58,00:00:37,00:28:43,00:00:26,00:16:19,00:55:02,Male
39,Jan,Volar,CZE,1992,27,00:08:58,00:00:47,00:29:12,00:00:26,00:15:52,00:55:12,Male
40,David,Martin,CZE,1998,49,00:08:59,00:00:38,00:28:40,00:00:21,00:16:44,00:55:21,Male
41,Miguel,Hidalgo,BRA,2000,12,00:08:47,00:00:44,00:28:47,00:00:25,00:16:59,00:55:39,Male
42,Darr,Smith,USA,1998,34,00:08:54,00:00:39,00:29:24,00:00:26,00:16:25,00:55:46,Male
43,Oscar,Gladney Rundqvist,DEN,2000,54,00:09:21,00:00:42,00:30:35,00:00:24,00:17:11,00:58:10,Male
