POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Hayden	Wilde	NZL	1997	2	00:09:13	00:00:32	00:28:56	00:00:25	00:14:07	00:53:10
2	Matthew	Hauser	AUS	1998	18	00:08:51	00:00:40	00:29:09	00:00:21	00:14:13	00:53:13
3	Jawad	Abdelmoula	MAR	1994	30	00:09:04	00:00:37	00:28:59	00:00:23	00:14:25	00:53:26
4	Léo	Bergere	FRA	1996	1	00:08:55	00:00:33	00:29:08	00:00:22	00:14:32	00:53:29
5	Jelle	Geens	BEL	1993	4	00:09:12	00:00:34	00:28:51	00:00:20	00:14:40	00:53:36
6	Tom	Richard	FRA	1993	26	00:08:52	00:00:34	00:29:13	00:00:21	00:14:39	00:53:37
7	Vasco	Vilaca	POR	1999	6	00:09:03	00:00:35	00:28:59	00:00:23	00:14:40	00:53:38
8	Joao	Silva	POR	1989	17	00:09:06	00:00:34	00:29:02	00:00:22	00:14:38	00:53:40
9	Vetle Bergsvik	Thorn	NOR	1999	21	00:09:06	00:00:35	00:29:02	00:00:24	00:14:37	00:53:42
10	Lasse	Lührs	GER	1996	12	00:09:01	00:00:37	00:29:00	00:00:22	00:14:45	00:53:43
11	Vincent	Luis	FRA	1989	5	00:08:45	00:00:34	00:29:19	00:00:23	00:14:45	00:53:44
12	Kenji	Nener	JPN	1993	11	00:08:53	00:00:31	00:29:17	00:00:21	00:14:46	00:53:45
13	Barclay	Izzard	GBR	1998	49	00:09:15	00:00:31	00:28:55	00:00:18	00:14:50	00:53:47
14	Csongor	Lehmann	HUN	1999	31	00:09:04	00:00:32	00:29:04	00:00:21	00:14:54	00:53:54
15	Jamie	Riddle	RSA	2000	39	00:08:51	00:00:33	00:29:20	00:00:25	00:14:49	00:53:56
16	Gábor	Faldum	HUN	1988	24	00:09:12	00:00:33	00:28:54	00:00:19	00:15:00	00:53:57
17	Michele	Sarzilla	ITA	1988	32	00:09:01	00:00:37	00:29:01	00:00:25	00:14:56	00:53:58
18	Radim	Grebík	CZE	2001	40	00:09:04	00:00:31	00:29:07	00:00:23	00:14:56	00:53:59
19	Valentin	Morlec	FRA	1999	35	00:08:46	00:00:31	00:29:23	00:00:23	00:15:02	00:54:02
20	Valentin	Wernz	GER	1995	38	00:09:01	00:00:34	00:29:05	00:00:23	00:15:05	00:54:05
21	Seth	Rider	USA	1997	36	00:08:59	00:00:34	00:29:09	00:00:22	00:15:06	00:54:07
22	Bence	Bicsák	HUN	1995	10	00:09:03	00:00:37	00:29:02	00:00:26	00:15:05	00:54:11
23	Jonas	Schomburg	GER	1994	27	00:08:58	00:00:32	00:29:07	00:00:24	00:15:12	00:54:12
24	Kevin	McDowell	USA	1992	33	00:08:56	00:00:33	00:29:10	00:00:25	00:15:11	00:54:14
25	Takumi	Hojo	JPN	1996	14	00:08:52	00:00:33	00:29:13	00:00:22	00:15:20	00:54:17
26	Alberto	Gonzalez Garcia	ESP	1998	55	00:09:09	00:00:32	00:29:01	00:00:20	00:15:21	00:54:21
27	Luke	Willian	AUS	1996	42	00:09:11	00:00:33	00:28:57	00:00:22	00:15:20	00:54:21
28	Simon	Westermann	SUI	1998	45	00:09:05	00:00:33	00:29:01	00:00:22	00:15:22	00:54:21
29	Márk	Dévay	HUN	1996	22	00:08:48	00:00:35	00:29:16	00:00:21	00:15:26	00:54:24
30	Chase	McQueen	USA	1998	43	00:08:56	00:00:33	00:29:14	00:00:23	00:15:25	00:54:29
31	Manoel	Messias	BRA	1996	29	00:09:28	00:00:34	00:29:35	00:00:21	00:14:39	00:54:35
32	Dylan	McCullough	NZL	2001	57	00:08:49	00:00:35	00:29:19	00:00:23	00:15:33	00:54:37
33	Samuel	Dickinson	GBR	1997	41	00:09:01	00:00:34	00:29:02	00:00:23	00:15:41	00:54:40
34	Tim	Hellwig	GER	1999	8	00:09:07	00:00:34	00:28:59	00:00:26	00:15:38	00:54:42
35	Max	Studer	SUI	1996	53	00:09:14	00:00:36	00:29:46	00:00:22	00:14:49	00:54:44
36	Mario	Mola	ESP	1990	52	00:09:14	00:00:37	00:29:46	00:00:23	00:14:52	00:54:50
37	Richard	Murray	NED	1989	61	00:09:16	00:00:35	00:29:46	00:00:19	00:15:09	00:55:03
38	Emil	Holm	DEN	1996	62	00:09:11	00:00:33	00:29:54	00:00:19	00:15:15	00:55:09
39	Jacob	Birtwhistle	AUS	1995	25	00:09:23	00:00:35	00:29:39	00:00:23	00:15:18	00:55:16
40	Rostislav	Pevtsov	AZE	1987	50	00:09:10	00:00:34	00:29:54	00:00:23	00:15:24	00:55:23
41	Roberto	Sanchez Mantecon	ESP	1996	16	00:09:27	00:00:35	00:29:34	00:00:21	00:15:39	00:55:34
42	Saxon	Morgan	NZL	2000	59	00:09:15	00:00:33	00:29:50	00:00:23	00:15:45	00:55:44
43	Donald	Hillebregt	NED	1992	64	00:09:15	00:00:35	00:29:52	00:00:27	00:16:05	00:56:13
44	Gabriel	Sandör	SWE	1996	34	00:09:23	00:00:33	00:29:42	00:00:22	00:16:18	00:56:16
45	Erwin	Vanderplancke	BEL	1995	28	00:09:27	00:00:33	00:29:37	00:00:24	00:16:32	00:56:30
46	Jan	Volar	CZE	1992	58	00:09:18	00:00:35	00:29:48	00:00:23	00:16:36	00:56:37
47	Antonio	Bravo Neto	BRA	1999	60	00:09:31	00:00:33	00:31:01	00:00:22	00:15:21	00:56:46
48	Antonio	Serrat Seoane	ESP	1995	3	00:09:28	00:00:35	00:31:00	00:00:20	00:15:29	00:56:51
49	Brock	Hoel	CAN	2001	63	00:08:53	00:00:34	00:31:23	00:00:23	00:15:58	00:57:10
50	Diego	Moya	CHI	1998	37	00:09:15	00:00:34	00:31:16	00:00:23	00:16:13	00:57:38
