POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Jelle	Geens	BEL	1993	24	00:09:15	00:00:59	00:26:58	00:00:22	00:14:44	00:52:20
2	Vincent	Luis	FRA	1989	21	00:08:43	00:01:02	00:27:27	00:00:22	00:14:49	00:52:25
3	Bence	Bicsák	HUN	1995	38	00:09:02	00:01:01	00:27:07	00:00:25	00:14:51	00:52:28
4	Pierre	Le Corre	FRA	1990	41	00:08:56	00:01:00	00:27:15	00:00:21	00:15:00	00:52:34
5	Antonio	Serrat Seoane	ESP	1995	5	00:09:17	00:00:58	00:27:00	00:00:22	00:14:59	00:52:37
6	Tyler	Mislawchuk	CAN	1994	30	00:09:01	00:01:01	00:27:10	00:00:24	00:15:04	00:52:41
7	Vasco	Vilaca	POR	1999	45	00:09:03	00:00:58	00:27:09	00:00:23	00:15:11	00:52:46
8	Hayden	Wilde	NZL	1997	23	00:09:18	00:00:58	00:26:56	00:00:24	00:15:15	00:52:54
9	Kenji	Nener	JPN	1993	31	00:08:53	00:01:02	00:27:16	00:00:21	00:15:23	00:52:58
10	Gábor	Faldum	HUN	1988	37	00:09:13	00:01:02	00:27:00	00:00:22	00:15:25	00:53:03
11	Márk	Dévay	HUN	1996	29	00:08:44	00:01:01	00:27:29	00:00:22	00:15:37	00:53:15
12	Tim	Hellwig	GER	1999	1	00:09:08	00:00:58	00:27:08	00:00:21	00:15:44	00:53:22
13	Takumi	Hojo	JPN	1996	12	00:08:50	00:01:03	00:27:21	00:00:27	00:15:40	00:53:24
14	Léo	Bergere	FRA	1996	3	00:09:10	00:01:00	00:27:02	00:00:23	00:15:47	00:53:25
15	Roberto	Sanchez Mantecon	ESP	1996	40	00:09:20	00:00:59	00:27:34	00:00:23	00:15:10	00:53:27
16	Valentin	Morlec	FRA	1999	47	00:08:59	00:01:00	00:27:55	00:00:22	00:15:13	00:53:31
17	Gordon	Benson	GBR	1994	11	00:09:10	00:01:00	00:27:40	00:00:22	00:15:24	00:53:39
18	Csongor	Lehmann	HUN	1999	28	00:08:57	00:01:01	00:27:54	00:00:24	00:15:25	00:53:43
19	Lasse Nygaard	Priester	GER	1995	4	00:09:17	00:00:57	00:27:40	00:00:23	00:15:27	00:53:45
