POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
20	Tjebbe	Kaindl	AUT	1999	48	00:09:11	00:00:57	00:27:05	00:00:23	00:16:09	00:53:47
21	Miguel	Hidalgo	BRA	2000	20	00:08:56	00:01:06	00:27:50	00:00:23	00:15:39	00:53:55
22	Samuel	Dickinson	GBR	1997	33	00:09:15	00:01:00	00:27:35	00:00:24	00:15:44	00:53:59
23	Jonas	Schomburg	GER	1994	14	00:09:02	00:00:58	00:27:13	00:00:25	00:16:23	00:54:02
24	Morgan	Pearson	USA	1993	22	00:09:04	00:00:58	00:27:52	00:00:28	00:15:48	00:54:13
25	Menno	Koolhaas	NED	1995	55	00:09:07	00:01:01	00:27:45	00:00:35	00:15:47	00:54:17
26	Tamás	Tóth	HUN	1989	43	00:09:06	00:00:59	00:27:51	00:00:22	00:16:00	00:54:19
27	Alessandro	Fabian	ITA	1988	39	00:09:04	00:01:01	00:27:47	00:00:25	00:16:06	00:54:24
28	Brandon	Copeland	AUS	1996	10	00:09:18	00:00:58	00:27:41	00:00:23	00:16:07	00:54:28
29	Gianluca	Pozzatti	ITA	1993	42	00:09:01	00:01:02	00:27:50	00:00:24	00:16:15	00:54:34
30	Bob	Haller	LUX	1993	17	00:09:17	00:01:00	00:27:34	00:00:24	00:16:25	00:54:42
31	Casper	Stornes	NOR	1997	15	00:09:21	00:01:03	00:27:29	00:00:27	00:16:28	00:54:49
32	Vetle Bergsvik	Thorn	NOR	1999	7	00:09:18	00:01:02	00:27:31	00:00:26	00:16:35	00:54:54
33	Marcel	Walkington	AUS	1993	9	00:09:13	00:01:00	00:27:45	00:00:25	00:16:39	00:55:04
34	Charles	Paquet	CAN	1997	6	00:09:21	00:00:58	00:27:40	00:00:30	00:16:44	00:55:14
35	Donald	Hillebregt	NED	1992	19	00:09:11	00:01:06	00:27:41	00:00:26	00:16:51	00:55:16
36	Jørgen	Gundersen	NOR	1995	54	00:09:09	00:01:03	00:27:45	00:00:25	00:16:57	00:55:20
37	Aaron	Royle	AUS	1990	27	00:09:12	00:01:07	00:27:35	00:00:25	00:17:15	00:55:35
38	Johannes	Vogel	GER	1996	18	00:09:00	00:01:01	00:27:54	00:00:26	00:17:17	00:55:40
39	Fabian	Meeusen	SUI	1998	53	00:08:57	00:01:00	00:27:59	00:00:24	00:17:19	00:55:42
40	Emil	Holm	DEN	1996	8	00:09:15	00:01:03	00:27:39	00:00:26	00:17:18	00:55:42
41	Seth	Rider	USA	1997	25	00:09:04	00:01:01	00:27:09	00:00:23	00:18:25	00:56:03
42	Matthew	Hauser	AUS	1998	26	00:09:06	00:01:11	00:27:42	00:00:24	00:17:42	00:56:07
43	Jamie	Riddle	RSA	2000	46	00:08:57	00:01:04	00:27:58	00:00:29	00:17:44	00:56:14
44	Paul	Georgenthum	FRA	2000	2	00:09:33	00:01:00	00:29:06	00:00:23	00:16:17	00:56:20
45	Maciej	Bruzdziak	POL	1998	50	00:09:01	00:01:03	00:27:55	00:00:27	00:18:30	00:56:58
46	Clayton	Hutchins	USA	1995	49	00:09:22	00:01:01	00:30:27	00:00:23	00:16:08	00:57:23
47	Peter	Rojtas	SVK	2002	57	00:09:12	00:01:04	00:28:13	00:00:23	00:19:41	00:58:35
48	Grant	Sheldon	GBR	1994	44	00:09:05	00:01:04	00:28:51	00:00:30	00:20:08	00:59:40
49	Lars	Holenweger	SUI	1998	52	00:09:25	00:01:03	00:30:58	00:00:23	00:18:05	00:59:55
DNS	Jorik	Van Egdom	NED	1995	51	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	DNS
