POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Flora	Duffy	BER	1987	31	00:09:38	00:01:02	00:28:19	00:00:27	00:16:12	00:55:41
2	Georgia	Taylor-Brown	GBR	1994	39	00:09:37	00:01:03	00:28:20	00:00:26	00:16:25	00:55:53
3	Sophie	Coldwell	GBR	1995	30	00:09:30	00:01:05	00:28:25	00:00:25	00:16:45	00:56:11
4	Jessica	Learmonth	GBR	1988	33	00:09:30	00:01:03	00:28:25	00:00:26	00:17:02	00:56:27
5	Taylor	Knibb	USA	1998	29	00:09:43	00:01:05	00:28:10	00:00:29	00:17:06	00:56:35
6	Cassandre	Beaugrand	FRA	1997	38	00:09:41	00:01:04	00:29:58	00:00:23	00:16:16	00:57:24
7	Beth	Potter	GBR	1991	34	00:09:51	00:01:05	00:29:44	00:00:24	00:16:22	00:57:28
8	Non	Stanford	GBR	1989	32	00:09:56	00:01:03	00:29:40	00:00:28	00:16:22	00:57:31
9	Rachel	Klamer	NED	1990	41	00:09:56	00:01:06	00:29:36	00:00:26	00:16:27	00:57:34
10	Vicky	Holland	GBR	1986	36	00:09:39	00:01:04	00:29:56	00:00:28	00:16:29	00:57:38
11	Taylor	Spivey	USA	1991	28	00:09:53	00:01:04	00:29:39	00:00:26	00:16:46	00:57:51
12	Lucy	Charles-Barclay	GBR	1993	50	00:09:35	00:01:01	00:29:36	00:00:25	00:17:15	00:57:54
13	Lea	Coninx	FRA	1998	49	00:10:04	00:01:02	00:29:39	00:00:22	00:16:46	00:57:55
14	Djenyfer	Arnold	BRA	1993	45	00:09:34	00:01:05	00:30:03	00:00:25	00:16:53	00:58:01
15	Erika	Ackerlund	USA	1996	6	00:10:02	00:01:02	00:29:34	00:00:24	00:17:02	00:58:06
16	Jeanne	Lehair	FRA	1996	18	00:09:41	00:01:02	00:29:57	00:00:25	00:17:05	00:58:12
17	Summer	Rappaport	USA	1991	2	00:09:33	00:01:07	00:30:06	00:00:27	00:17:01	00:58:15
18	Verena	Steinhauser	ITA	1994	8	00:10:02	00:01:04	00:29:35	00:00:26	00:17:10	00:58:19
19	Yuko	Takahashi	JPN	1991	40	00:09:33	00:01:05	00:30:01	00:00:24	00:17:17	00:58:23
20	Natalie	Van Coevorden	AUS	1992	10	00:09:39	00:01:09	00:29:52	00:00:29	00:17:17	00:58:28
21	Paulina	Klimas	POL	1995	22	00:09:51	00:01:02	00:29:49	00:00:26	00:17:20	00:58:30
22	Lisa	Tertsch	GER	1998	11	00:10:15	00:01:03	00:30:08	00:00:23	00:16:47	00:58:38
23	Alberte	Kjær Pedersen	DEN	1998	9	00:10:11	00:01:03	00:30:13	00:00:24	00:16:58	00:58:50
24	Sian	Rainsley	GBR	1997	4	00:09:37	00:01:05	00:29:59	00:00:25	00:17:44	00:58:53
25	Annika	Koch	GER	1999	14	00:10:11	00:01:02	00:30:12	00:00:28	00:17:03	00:58:57
26	Sara	Perez Sala	ESP	1988	51	00:09:35	00:01:05	00:30:03	00:00:32	00:17:40	00:58:57
27	Charlotte	McShane	AUS	1990	21	00:10:01	00:01:02	00:30:23	00:00:26	00:17:09	00:59:03
28	Romana	Gajdošová	SVK	1994	48	00:10:16	00:01:04	00:30:06	00:00:27	00:17:09	00:59:04
29	Laura	Lindemann	GER	1996	1	00:10:00	00:01:03	00:30:25	00:00:26	00:17:10	00:59:05
30	Roksana	Slupek	POL	1999	23	00:10:04	00:01:09	00:30:13	00:00:28	00:17:16	00:59:12
31	Audrey	Merle	FRA	1995	42	00:10:02	00:01:05	00:30:23	00:00:27	00:17:17	00:59:16
32	Lena	Meißner	GER	1998	12	00:10:13	00:01:05	00:30:07	00:00:26	00:17:48	00:59:41
33	Solveig	Løvseth	NOR	1999	47	00:10:18	00:01:08	00:30:01	00:00:27	00:17:57	00:59:54
34	Quinty	Schoens	NED	1999	16	00:10:17	00:01:06	00:30:03	00:00:27	00:18:12	01:00:06
35	Niina	Kishimoto	JPN	1995	37	00:10:01	00:01:06	00:30:20	00:00:25	00:18:24	01:00:17
36	Sarika	Nakayama	JPN	2000	43	00:10:05	00:01:06	00:30:18	00:00:29	00:18:24	01:00:24
37	Shanae	Williams	RSA	1998	24	00:09:58	00:01:09	00:30:26	00:00:30	00:18:33	01:00:37
38	Miriam	Casillas García	ESP	1992	35	00:10:03	00:01:03	00:31:35	00:00:31	00:18:26	01:01:39
39	Alicja	Ulatowska	POL	1996	26	00:10:15	00:01:10	00:31:42	00:00:25	00:18:36	01:02:11
40	Hiraku	Fukuoka	JPN	1994	44	00:10:05	00:01:05	00:30:18	00:00:27	00:20:39	01:02:35
41	Tereza	Zimovjanova	CZE	1995	46	00:10:47	00:01:04	00:32:50	00:00:24	00:17:59	01:03:06
42	Zuzana	Michalickova	SVK	2002	25	00:10:11	00:01:04	00:32:40	00:00:27	00:18:53	01:03:16
43	Alzbeta	Hruskova	CZE	2000	27	00:10:23	00:01:05	00:32:25	00:00:23	00:19:24	01:03:42
DNF	Sif	Bendix Madsen	DEN	2001	52	00:10:14	00:01:08	00:00:00	00:00:00	00:00:00	DNF
DNF	Emma	Jackson	AUS	1991	20	00:09:58	00:01:08	00:00:00	00:00:00	00:00:00	DNF
DNF	Kira	Hedgeland	AUS	1998	19	00:10:07	00:01:05	00:00:00	00:00:00	00:00:00	DNF
DNF	Julia	Hauser	AUT	1994	17	00:10:06	00:01:06	00:00:00	00:00:00	00:00:00	DNF
DNF	Alice	Betto	ITA	1987	5	00:10:00	00:01:04	00:00:00	00:00:00	00:00:00	DNF
DNF	Zsanett	Kuttor-Bragmayer	HUN	1994	3	00:10:02	00:01:03	00:00:00	00:00:00	00:00:00	DNF
